sample interval	and GSR
(0.0028050 sec)	   (mV)
              0	 12.169
              1	 12.169
              2	 12.169
              3	 12.169
              4	 12.169
              5	 12.169
              6	 12.169
              7	 12.169
              8	 12.169
              9	 12.169
             10	 12.169
             11	 12.169
             12	 12.159
             13	 12.159
             14	 12.159
             15	 12.159
             16	 12.159
             17	 12.159
             18	 12.159
             19	 12.159
             20	 12.159
             21	 12.159
             22	 12.159
             23	 12.146
             24	 12.146
             25	 12.146
             26	 12.146
             27	 12.146
             28	 12.146
             29	 12.146
             30	 12.146
             31	 12.146
             32	 12.146
             33	 12.146
             34	 12.146
             35	 12.136
             36	 12.136
             37	 12.136
             38	 12.136
             39	 12.136
             40	 12.136
             41	 12.136
             42	 12.136
             43	 12.136
             44	 12.136
             45	 12.136
             46	 12.126
             47	 12.126
             48	 12.126
             49	 12.126
             50	 12.126
             51	 12.126
             52	 12.126
             53	 12.126
             54	 12.126
             55	 12.126
             56	 12.126
             57	 12.126
             58	 12.116
             59	 12.116
             60	 12.116
             61	 12.116
             62	 12.116
             63	 12.116
             64	 12.116
             65	 12.116
             66	 12.116
             67	 12.116
             68	 12.116
             69	 12.106
             70	 12.106
             71	 12.106
             72	 12.106
             73	 12.106
             74	 12.106
             75	 12.106
             76	 12.106
             77	 12.106
             78	 12.106
             79	 12.106
             80	 12.106
             81	 12.097
             82	 12.097
             83	 12.097
             84	 12.097
             85	 12.097
             86	 12.097
             87	 12.097
             88	 12.097
             89	 12.097
             90	 12.097
             91	 12.097
             92	 12.087
             93	 12.087
             94	 12.087
             95	 12.087
             96	 12.087
             97	 12.087
             98	 12.087
             99	 12.087
            100	 12.087
            101	 12.087
            102	 12.087
            103	 12.087
            104	 12.077
            105	 12.077
            106	 12.077
            107	 12.077
            108	 12.077
            109	 12.077
            110	 12.077
            111	 12.077
            112	 12.077
            113	 12.077
            114	 12.077
            115	 12.067
            116	 12.067
            117	 12.067
            118	 12.067
            119	 12.067
            120	 12.067
            121	 12.067
            122	 12.067
            123	 12.067
            124	 12.067
            125	 12.067
            126	 12.067
            127	 12.059
            128	 12.059
            129	 12.059
            130	 12.059
            131	 12.059
            132	 12.059
            133	 12.059
            134	 12.059
            135	 12.059
            136	 12.059
            137	 12.059
            138	 12.052
            139	 12.052
            140	 12.052
            141	 12.052
            142	 12.052
            143	 12.052
            144	 12.052
            145	 12.052
            146	 12.052
            147	 12.052
            148	 12.052
            149	 12.052
            150	 12.042
            151	 12.042
