sample interval	G1-EMG2
(0.0019531 sec)	   (uV)
              0	-12.607
              1	-11.813
              2	 -9.188
              3	 -6.838
              4	 -3.632
              5	  0.458
              6	  4.335
              7	  6.593
              8	  6.654
              9	  4.731
             10	  1.740
             11	 -1.068
             12	 -2.686
             13	 -2.534
             14	 -0.702
             15	  2.045
             16	  4.762
             17	  6.410
             18	  6.471
             19	  4.945
             20	  2.442
             21	 -0.153
             22	 -1.923
             23	 -2.381
             24	 -1.404
             25	  0.488
             26	  2.595
             27	  4.060
             28	  4.396
             29	  3.449
             30	  1.618
             31	 -0.427
             32	 -2.045
             33	 -2.656
             34	 -2.137
             35	 -0.733
             36	  0.916
             37	  2.289
             38	  2.839
             39	  2.381
             40	  1.129
             41	 -0.427
             42	 -1.770
             43	 -2.411
             44	 -2.167
             45	 -1.190
             46	  0.122
             47	  1.313
             48	  1.954
             49	  1.832
             50	  1.038
             51	 -0.122
             52	 -1.221
             53	 -1.862
             54	 -1.862
             55	 -1.190
             56	 -0.183
             57	  0.794
             58	  1.465
             59	  1.526
             60	  1.007
             61	  0.153
             62	 -0.733
             63	 -1.343
             64	 -1.465
             65	 -1.068
             66	 -0.305
             67	  0.488
             68	  1.068
             69	  1.252
             70	  0.946
             71	  0.336
             72	 -0.366
             73	 -0.916
             74	 -1.129
             75	 -0.916
             76	 -0.366
             77	  0.244
             78	  0.763
             79	  0.977
             80	  0.824
             81	  0.397
             82	 -0.122
             83	 -0.611
             84	 -0.855
             85	 -0.763
             86	 -0.397
             87	  0.061
             88	  0.519
             89	  0.733
             90	  0.702
             91	  0.397
             92	  0.000
             93	 -0.397
             94	 -0.641
             95	 -0.641
             96	 -0.397
             97	 -0.031
             98	  0.305
             99	  0.549
            100	  0.580
            101	  0.397
            102	  0.061
            103	 -0.244
            104	 -0.458
            105	 -0.519
            106	 -0.366
            107	 -0.092
            108	  0.183
            109	  0.397
            110	  0.458
            111	  0.336
            112	  0.122
            113	 -0.122
            114	 -0.336
            115	 -0.397
            116	 -0.336
            117	 -0.122
            118	  0.061
            119	  0.275
            120	  0.336
            121	  0.305
            122	  0.153
            123	 -0.031
            124	 -0.214
            125	 -0.305
            126	 -0.275
            127	 -0.153
            128	  0.000
            129	  0.183
            130	  0.275
            131	  0.244
            132	  0.153
            133	  0.000
            134	 -0.122
            135	 -0.214
            136	 -0.214
            137	 -0.153
            138	  0.000
            139	  0.092
            140	  0.183
            141	  0.214
            142	  0.122
            143	  0.031
            144	 -0.061
            145	 -0.153
            146	 -0.183
            147	 -0.122
            148	 -0.031
            149	  0.061
            150	  0.122
            151	  0.153
            152	  0.122
            153	  0.031
            154	 -0.031
            155	 -0.122
            156	 -0.122
            157	 -0.122
            158	 -0.031
            159	  0.031
            160	  0.092
            161	  0.122
            162	  0.092
            163	  0.031
            164	  0.000
            165	 -0.061
            166	 -0.092
            167	 -0.092
            168	 -0.031
            169	  0.000
            170	  0.061
            171	  0.092
            172	  0.092
            173	  0.031
            174	  0.000
            175	 -0.031
            176	 -0.061
            177	 -0.061
            178	 -0.031
            179	  0.000
            180	  0.031
            181	  0.061
            182	  0.061
            183	  0.031
            184	  0.000
            185	 -0.031
            186	 -0.061
            187	 -0.061
            188	 -0.031
            189	  0.000
            190	  0.000
            191	  0.031
            192	  0.061
            193	  0.031
            194	  0.000
            195	  0.000
            196	 -0.031
            197	 -0.031
            198	 -0.031
            199	  0.000
            200	  0.000
            201	  0.031
            202	  0.031
            203	  0.031
            204	  0.000
            205	  0.000
            206	  0.000
            207	 -0.031
            208	 -0.031
            209	  0.000
            210	  0.000
            211	  0.000
            212	  0.031
            213	  0.031
            214	  0.000
            215	  0.000
            216	  0.000
            217	 -0.031
            218	 -0.031
            219	  0.000
            220	  0.000
            221	  0.000
            222	  0.000
            223	  0.000
            224	  0.000
            225	  0.000
            226	  0.000
            227	  0.000
            228	  0.000
            229	  0.000
            230	  0.000
            231	  0.000
            232	  0.000
            233	  0.000
            234	  0.000
            235	  0.000
            236	  0.000
            237	  0.000
            238	  0.000
            239	  0.000
            240	  0.000
            241	  0.000
            242	  0.000
            243	  0.000
            244	  0.000
            245	  0.000
            246	  0.000
            247	  0.000
            248	  0.000
            249	  0.000
            250	  0.000
            251	  0.000
            252	  0.000
            253	  0.000
            254	  0.000
            255	  0.000
            256	  0.000
            257	  0.000
            258	  0.000
            259	  0.000
            260	  0.000
            261	  0.000
            262	  0.000
            263	  0.000
            264	  0.000
            265	  0.000
            266	  0.000
            267	  0.000
            268	  0.000
            269	  0.000
            270	  0.000
            271	  0.000
            272	  0.000
            273	  0.000
            274	  0.000
            275	  0.000
            276	  0.000
            277	  0.000
            278	  0.000
            279	  0.000
            280	  0.000
            281	  0.000
            282	  0.000
            283	  0.000
            284	  0.000
            285	  0.000
            286	  0.000
            287	  0.000
            288	  0.000
            289	  0.000
            290	  0.000
            291	  0.000
            292	  0.000
            293	  0.000
            294	  0.000
            295	  0.000
            296	  0.000
            297	  0.000
            298	  0.000
            299	  0.000
            300	  0.000
            301	  0.000
            302	  0.000
            303	  0.000
            304	  0.000
            305	  0.000
            306	  0.000
            307	  0.000
            308	  0.000
            309	  0.000
            310	  0.000
            311	  0.000
            312	  0.000
            313	  0.000
            314	  0.000
            315	  0.000
            316	  0.000
            317	  0.000
            318	  0.000
            319	  0.000
            320	  0.000
            321	  0.000
            322	  0.000
            323	  0.000
            324	  0.000
            325	  0.000
            326	  0.000
            327	  0.000
            328	  0.000
            329	  0.000
            330	  0.000
            331	  0.000
            332	  0.000
            333	  0.000
            334	  0.000
            335	  0.000
            336	  0.000
            337	  0.000
            338	  0.000
            339	  0.000
            340	  0.000
            341	  0.000
            342	  0.000
            343	  0.000
            344	  0.000
            345	  0.000
            346	  0.000
            347	  0.000
            348	  0.000
            349	  0.000
            350	  0.000
            351	  0.000
            352	  0.000
            353	  0.000
            354	  0.000
            355	  0.000
            356	  0.000
            357	  0.000
            358	  0.000
            359	  0.000
            360	  0.000
            361	  0.000
            362	  0.000
            363	  0.000
            364	  0.000
            365	  0.000
            366	  0.000
            367	  0.000
            368	  0.000
            369	  0.000
            370	  0.000
            371	  0.000
            372	  0.000
            373	  0.000
            374	  0.000
            375	  0.000
            376	  0.000
            377	  0.000
            378	  0.000
            379	  0.000
            380	  0.000
            381	  0.000
            382	  0.000
            383	  0.000
            384	  0.000
            385	  0.000
            386	  0.000
            387	  0.000
            388	  0.000
            389	  0.000
            390	  0.000
            391	  0.000
            392	  0.000
            393	  0.000
            394	  0.000
            395	  0.000
            396	  0.000
            397	  0.000
            398	  0.000
            399	  0.000
            400	  0.000
            401	  0.000
            402	  0.000
            403	  0.000
            404	  0.000
            405	  0.000
            406	  0.000
            407	  0.000
            408	  0.000
            409	  0.000
            410	  0.000
            411	  0.000
            412	  0.000
            413	  0.000
            414	  0.000
            415	  0.000
            416	  0.000
            417	  0.000
            418	  0.000
            419	  0.000
            420	  0.000
            421	  0.000
            422	  0.000
            423	  0.000
            424	  0.000
            425	  0.000
            426	  0.000
            427	  0.000
            428	  0.000
            429	  0.000
            430	  0.000
            431	  0.000
            432	  0.000
            433	  0.000
            434	  0.000
            435	  0.000
            436	  0.000
            437	  0.000
            438	  0.000
            439	  0.000
            440	  0.000
            441	  0.000
            442	  0.000
            443	  0.000
            444	  0.000
            445	  0.000
            446	  0.000
            447	  0.000
            448	  0.000
            449	  0.000
            450	  0.000
            451	  0.000
            452	  0.000
            453	  0.000
            454	  0.000
            455	  0.000
            456	  0.000
            457	  0.000
            458	  0.000
            459	  0.000
            460	  0.000
            461	  0.000
            462	  0.000
            463	  0.000
            464	  0.000
            465	  0.000
            466	  0.000
            467	  0.000
            468	  0.000
            469	  0.000
            470	  0.000
            471	  0.000
            472	  0.000
            473	  0.000
            474	  0.000
            475	  0.000
            476	  0.000
            477	  0.000
