sample interval	PLETH, 
    (0.008 sec)	   (NU)
              0	  0.487
              1	  0.469
              2	  0.453
              3	  0.440
              4	  0.428
              5	  0.417
              6	  0.407
              7	  0.397
              8	  0.390
              9	  0.384
             10	  0.381
             11	  0.378
             12	  0.376
             13	  0.374
             14	  0.372
             15	  0.370
             16	  0.369
             17	  0.367
             18	  0.363
             19	  0.360
             20	  0.356
             21	  0.352
             22	  0.349
             23	  0.345
             24	  0.341
             25	  0.337
             26	  0.334
             27	  0.330
             28	  0.327
             29	  0.326
             30	  0.323
             31	  0.321
             32	  0.319
             33	  0.317
             34	  0.315
             35	  0.313
             36	  0.311
             37	  0.309
             38	  0.308
             39	  0.306
             40	  0.304
             41	  0.302
             42	  0.299
             43	  0.295
             44	  0.292
             45	  0.290
             46	  0.291
             47	  0.296
             48	  0.306
             49	  0.321
             50	  0.340
             51	  0.365
             52	  0.388
             53	  0.413
             54	  0.439
             55	  0.466
             56	  0.494
             57	  0.516
             58	  0.536
             59	  0.552
             60	  0.565
             61	  0.575
             62	  0.583
             63	  0.588
             64	  0.592
             65	  0.596
             66	  0.598
             67	  0.600
             68	  0.600
             69	  0.601
             70	  0.600
             71	  0.598
             72	  0.594
             73	  0.589
             74	  0.581
             75	  0.570
             76	  0.557
             77	  0.544
             78	  0.533
             79	  0.518
             80	  0.502
             81	  0.488
             82	  0.474
             83	  0.461
             84	  0.451
             85	  0.441
             86	  0.434
             87	  0.428
             88	  0.425
             89	  0.422
             90	  0.420
             91	  0.418
             92	  0.416
             93	  0.414
             94	  0.412
             95	  0.409
             96	  0.406
             97	  0.402
             98	  0.398
             99	  0.394
            100	  0.389
            101	  0.384
            102	  0.381
            103	  0.379
            104	  0.377
            105	  0.377
            106	  0.376
            107	  0.374
            108	  0.372
            109	  0.370
            110	  0.367
            111	  0.364
            112	  0.360
            113	  0.356
            114	  0.352
            115	  0.350
            116	  0.347
            117	  0.344
            118	  0.341
            119	  0.337
            120	  0.334
            121	  0.330
            122	  0.326
            123	  0.324
            124	  0.321
            125	  0.319
            126	  0.318
            127	  0.319
            128	  0.322
            129	  0.326
            130	  0.336
            131	  0.351
            132	  0.371
            133	  0.396
            134	  0.423
            135	  0.454
            136	  0.483
            137	  0.512
            138	  0.539
            139	  0.562
            140	  0.580
            141	  0.592
            142	  0.605
            143	  0.617
            144	  0.627
            145	  0.635
            146	  0.642
            147	  0.648
            148	  0.653
            149	  0.656
            150	  0.658
            151	  0.659
            152	  0.657
            153	  0.655
            154	  0.653
            155	  0.650
            156	  0.645
            157	  0.640
            158	  0.634
            159	  0.626
            160	  0.617
            161	  0.605
            162	  0.591
            163	  0.575
            164	  0.557
            165	  0.542
            166	  0.527
            167	  0.512
            168	  0.497
            169	  0.483
            170	  0.469
            171	  0.458
            172	  0.450
            173	  0.443
            174	  0.439
            175	  0.435
            176	  0.433
            177	  0.431
            178	  0.430
            179	  0.428
            180	  0.425
            181	  0.422
            182	  0.418
            183	  0.414
            184	  0.412
            185	  0.408
            186	  0.404
            187	  0.399
            188	  0.394
            189	  0.390
            190	  0.386
            191	  0.383
            192	  0.381
            193	  0.379
            194	  0.377
            195	  0.377
            196	  0.376
            197	  0.374
            198	  0.373
            199	  0.371
            200	  0.369
            201	  0.365
            202	  0.387
            203	  0.423
            204	  0.440
            205	  0.447
            206	  0.450
            207	  0.450
            208	  0.448
            209	  0.447
            210	  0.446
            211	  0.448
            212	  0.453
            213	  0.461
            214	  0.475
            215	  0.490
            216	  0.507
            217	  0.530
            218	  0.554
            219	  0.580
            220	  0.604
            221	  0.628
            222	  0.648
            223	  0.667
            224	  0.683
            225	  0.697
            226	  0.710
            227	  0.717
            228	  0.722
            229	  0.728
            230	  0.732
            231	  0.736
            232	  0.739
            233	  0.741
            234	  0.741
            235	  0.739
            236	  0.736
            237	  0.732
            238	  0.727
            239	  0.722
            240	  0.717
            241	  0.714
            242	  0.708
            243	  0.701
            244	  0.692
            245	  0.681
            246	  0.670
            247	  0.657
            248	  0.644
            249	  0.630
            250	  0.616
            251	  0.602
            252	  0.590
            253	  0.581
            254	  0.571
            255	  0.562
            256	  0.553
            257	  0.546
            258	  0.541
            259	  0.536
            260	  0.531
            261	  0.528
            262	  0.525
            263	  0.523
            264	  0.522
            265	  0.520
            266	  0.519
            267	  0.517
            268	  0.515
            269	  0.512
            270	  0.509
            271	  0.505
            272	  0.502
            273	  0.499
            274	  0.495
            275	  0.492
            276	  0.489
            277	  0.488
            278	  0.486
            279	  0.485
            280	  0.483
            281	  0.482
            282	  0.480
            283	  0.478
            284	  0.476
            285	  0.473
            286	  0.470
            287	  0.468
            288	  0.467
            289	  0.467
            290	  0.466
            291	  0.465
            292	  0.463
            293	  0.461
            294	  0.460
            295	  0.462
            296	  0.468
            297	  0.479
            298	  0.495
            299	  0.515
            300	  0.539
            301	  0.565
            302	  0.589
            303	  0.612
            304	  0.635
            305	  0.657
            306	  0.675
            307	  0.692
            308	  0.705
            309	  0.715
            310	  0.721
            311	  0.726
            312	  0.730
            313	  0.732
            314	  0.732
            315	  0.732
            316	  0.731
            317	  0.728
            318	  0.726
            319	  0.723
            320	  0.721
            321	  0.717
            322	  0.714
            323	  0.710
            324	  0.705
            325	  0.697
            326	  0.689
            327	  0.680
            328	  0.672
            329	  0.660
            330	  0.647
            331	  0.632
            332	  0.619
            333	  0.605
            334	  0.592
            335	  0.581
            336	  0.570
            337	  0.561
            338	  0.553
            339	  0.547
            340	  0.544
            341	  0.540
            342	  0.536
            343	  0.532
            344	  0.528
            345	  0.524
            346	  0.520
            347	  0.516
            348	  0.511
            349	  0.507
            350	  0.502
            351	  0.499
            352	  0.496
            353	  0.493
            354	  0.489
            355	  0.485
            356	  0.480
            357	  0.477
            358	  0.474
            359	  0.471
            360	  0.470
            361	  0.468
            362	  0.466
            363	  0.463
            364	  0.461
            365	  0.459
            366	  0.456
            367	  0.454
            368	  0.451
            369	  0.448
            370	  0.445
            371	  0.443
            372	  0.441
            373	  0.439
            374	  0.438
            375	  0.438
            376	  0.437
            377	  0.438
            378	  0.439
            379	  0.441
            380	  0.445
            381	  0.453
            382	  0.464
            383	  0.481
            384	  0.502
            385	  0.527
            386	  0.551
            387	  0.576
            388	  0.598
            389	  0.617
            390	  0.631
            391	  0.646
            392	  0.659
            393	  0.670
            394	  0.678
            395	  0.685
            396	  0.691
            397	  0.694
            398	  0.695
            399	  0.695
            400	  0.693
            401	  0.691
            402	  0.688
            403	  0.684
            404	  0.679
            405	  0.674
            406	  0.670
            407	  0.664
            408	  0.656
            409	  0.648
            410	  0.638
            411	  0.628
            412	  0.615
            413	  0.601
            414	  0.588
            415	  0.577
            416	  0.563
            417	  0.548
            418	  0.535
            419	  0.523
            420	  0.512
            421	  0.503
            422	  0.495
            423	  0.487
            424	  0.481
            425	  0.476
            426	  0.472
            427	  0.470
            428	  0.468
            429	  0.466
            430	  0.464
            431	  0.461
            432	  0.458
            433	  0.456
            434	  0.453
            435	  0.450
            436	  0.447
            437	  0.443
            438	  0.439
            439	  0.435
            440	  0.432
            441	  0.429
            442	  0.427
            443	  0.426
            444	  0.425
            445	  0.423
            446	  0.422
            447	  0.420
            448	  0.419
            449	  0.417
            450	  0.415
            451	  0.414
            452	  0.413
            453	  0.413
            454	  0.411
            455	  0.408
            456	  0.405
            457	  0.402
            458	  0.370
            459	  0.324
            460	  0.300
            461	  0.287
            462	  0.283
            463	  0.284
            464	  0.291
            465	  0.302
            466	  0.318
            467	  0.338
            468	  0.365
            469	  0.393
            470	  0.421
            471	  0.451
            472	  0.477
            473	  0.500
            474	  0.520
            475	  0.536
            476	  0.548
            477	  0.558
            478	  0.563
            479	  0.568
            480	  0.571
            481	  0.573
            482	  0.573
            483	  0.572
            484	  0.570
            485	  0.567
            486	  0.564
            487	  0.560
            488	  0.554
            489	  0.549
            490	  0.543
            491	  0.534
            492	  0.523
            493	  0.510
            494	  0.499
            495	  0.485
            496	  0.472
            497	  0.459
            498	  0.449
            499	  0.438
            500	  0.429
            501	  0.421
            502	  0.415
            503	  0.411
            504	  0.407
            505	  0.403
            506	  0.401
            507	  0.398
            508	  0.394
            509	  0.391
            510	  0.387
            511	  0.383
            512	  0.380
            513	  0.378
            514	  0.378
            515	  0.378
            516	  0.379
            517	  0.379
            518	  0.378
            519	  0.376
            520	  0.373
            521	  0.370
            522	  0.367
            523	  0.363
            524	  0.360
            525	  0.359
            526	  0.358
            527	  0.358
            528	  0.358
            529	  0.357
            530	  0.355
            531	  0.354
            532	  0.352
            533	  0.349
            534	  0.346
            535	  0.343
            536	  0.342
            537	  0.340
            538	  0.339
            539	  0.338
            540	  0.337
            541	  0.335
            542	  0.332
            543	  0.329
            544	  0.328
            545	  0.329
            546	  0.334
            547	  0.344
            548	  0.360
            549	  0.381
            550	  0.408
            551	  0.433
            552	  0.458
            553	  0.486
            554	  0.512
            555	  0.536
            556	  0.556
            557	  0.574
            558	  0.587
            559	  0.598
            560	  0.606
            561	  0.612
            562	  0.618
            563	  0.621
            564	  0.623
            565	  0.623
            566	  0.623
            567	  0.623
            568	  0.622
            569	  0.621
            570	  0.619
            571	  0.616
            572	  0.612
            573	  0.608
            574	  0.602
            575	  0.594
            576	  0.586
            577	  0.576
            578	  0.562
            579	  0.547
            580	  0.531
            581	  0.514
            582	  0.500
            583	  0.488
            584	  0.476
            585	  0.465
            586	  0.456
            587	  0.448
            588	  0.441
            589	  0.435
            590	  0.431
            591	  0.427
            592	  0.424
            593	  0.422
            594	  0.420
            595	  0.418
            596	  0.416
            597	  0.414
            598	  0.412
            599	  0.410
            600	  0.408
            601	  0.406
            602	  0.404
            603	  0.402
            604	  0.399
            605	  0.396
            606	  0.394
            607	  0.392
            608	  0.389
            609	  0.387
            610	  0.384
            611	  0.382
            612	  0.380
            613	  0.378
            614	  0.377
            615	  0.377
            616	  0.376
            617	  0.375
            618	  0.373
            619	  0.371
            620	  0.369
            621	  0.366
            622	  0.364
            623	  0.360
            624	  0.357
            625	  0.353
            626	  0.352
            627	  0.352
            628	  0.354
            629	  0.360
            630	  0.370
            631	  0.385
            632	  0.407
            633	  0.433
            634	  0.461
            635	  0.491
            636	  0.519
            637	  0.546
            638	  0.571
            639	  0.589
            640	  0.604
            641	  0.618
            642	  0.630
            643	  0.641
            644	  0.651
            645	  0.658
            646	  0.665
            647	  0.671
            648	  0.674
            649	  0.676
            650	  0.677
            651	  0.675
            652	  0.674
            653	  0.670
            654	  0.665
            655	  0.659
            656	  0.653
            657	  0.647
            658	  0.639
            659	  0.632
            660	  0.624
            661	  0.614
            662	  0.602
            663	  0.588
            664	  0.575
            665	  0.562
            666	  0.547
            667	  0.532
            668	  0.517
            669	  0.503
            670	  0.493
            671	  0.483
            672	  0.473
            673	  0.466
            674	  0.460
            675	  0.456
            676	  0.452
            677	  0.451
            678	  0.450
            679	  0.448
            680	  0.446
            681	  0.444
            682	  0.442
            683	  0.440
            684	  0.438
            685	  0.436
            686	  0.434
            687	  0.432
            688	  0.430
            689	  0.428
            690	  0.427
            691	  0.424
            692	  0.421
            693	  0.418
            694	  0.416
            695	  0.414
            696	  0.413
            697	  0.412
            698	  0.410
            699	  0.408
            700	  0.406
            701	  0.405
            702	  0.403
            703	  0.402
            704	  0.400
            705	  0.398
            706	  0.395
            707	  0.392
            708	  0.388
            709	  0.385
            710	  0.383
            711	  0.382
            712	  0.384
            713	  0.389
            714	  0.402
            715	  0.422
            716	  0.445
            717	  0.472
            718	  0.502
            719	  0.535
            720	  0.566
            721	  0.596
            722	  0.625
            723	  0.648
            724	  0.668
            725	  0.682
            726	  0.694
            727	  0.701
            728	  0.709
            729	  0.714
            730	  0.717
            731	  0.721
            732	  0.723
            733	  0.724
            734	  0.726
            735	  0.727
            736	  0.727
            737	  0.725
            738	  0.722
            739	  0.717
            740	  0.712
            741	  0.704
            742	  0.693
            743	  0.681
            744	  0.669
            745	  0.655
            746	  0.640
            747	  0.624
            748	  0.608
            749	  0.592
            750	  0.577
            751	  0.563
            752	  0.551
            753	  0.540
            754	  0.530
            755	  0.520
            756	  0.511
            757	  0.504
            758	  0.499
            759	  0.494
            760	  0.490
            761	  0.485
            762	  0.480
            763	  0.476
            764	  0.471
            765	  0.466
            766	  0.461
            767	  0.457
            768	  0.453
            769	  0.450
            770	  0.448
            771	  0.445
            772	  0.441
            773	  0.436
            774	  0.431
            775	  0.426
            776	  0.423
            777	  0.420
            778	  0.418
            779	  0.415
            780	  0.413
            781	  0.410
            782	  0.404
            783	  0.400
            784	  0.396
            785	  0.394
            786	  0.393
            787	  0.392
            788	  0.391
            789	  0.391
            790	  0.390
            791	  0.387
            792	  0.384
            793	  0.382
            794	  0.380
            795	  0.379
            796	  0.380
            797	  0.384
            798	  0.393
            799	  0.408
            800	  0.428
            801	  0.450
            802	  0.472
            803	  0.500
            804	  0.531
            805	  0.560
            806	  0.587
            807	  0.610
            808	  0.630
            809	  0.648
            810	  0.662
            811	  0.673
            812	  0.679
            813	  0.683
            814	  0.684
            815	  0.683
            816	  0.682
            817	  0.680
            818	  0.676
            819	  0.673
            820	  0.669
            821	  0.665
            822	  0.660
            823	  0.655
            824	  0.647
            825	  0.637
            826	  0.627
            827	  0.615
            828	  0.601
            829	  0.587
            830	  0.571
            831	  0.554
            832	  0.537
            833	  0.519
            834	  0.500
            835	  0.484
            836	  0.467
            837	  0.453
            838	  0.442
            839	  0.433
            840	  0.426
            841	  0.419
            842	  0.413
            843	  0.408
            844	  0.403
            845	  0.398
            846	  0.394
            847	  0.389
            848	  0.386
            849	  0.383
            850	  0.380
            851	  0.377
            852	  0.375
            853	  0.373
            854	  0.370
            855	  0.367
            856	  0.363
            857	  0.359
            858	  0.355
            859	  0.350
            860	  0.346
            861	  0.342
            862	  0.338
            863	  0.337
            864	  0.337
            865	  0.335
            866	  0.332
            867	  0.330
            868	  0.327
            869	  0.326
            870	  0.324
            871	  0.322
            872	  0.319
            873	  0.317
            874	  0.315
            875	  0.313
            876	  0.312
            877	  0.312
            878	  0.313
            879	  0.316
            880	  0.320
            881	  0.327
            882	  0.337
            883	  0.353
            884	  0.374
            885	  0.400
            886	  0.428
            887	  0.457
            888	  0.483
            889	  0.504
            890	  0.525
            891	  0.544
            892	  0.559
            893	  0.572
            894	  0.582
            895	  0.589
            896	  0.595
            897	  0.598
            898	  0.600
            899	  0.600
            900	  0.599
            901	  0.598
            902	  0.596
            903	  0.594
            904	  0.591
            905	  0.589
            906	  0.586
            907	  0.579
            908	  0.570
            909	  0.559
            910	  0.547
            911	  0.535
            912	  0.521
            913	  0.510
            914	  0.500
            915	  0.488
            916	  0.476
            917	  0.465
            918	  0.457
            919	  0.451
            920	  0.446
            921	  0.442
            922	  0.439
            923	  0.437
            924	  0.438
            925	  0.439
            926	  0.441
            927	  0.443
            928	  0.445
            929	  0.445
            930	  0.446
            931	  0.447
            932	  0.448
            933	  0.449
            934	  0.449
            935	  0.449
            936	  0.449
            937	  0.449
            938	  0.448
            939	  0.448
            940	  0.446
            941	  0.445
