   Elapsed time	 RESP, 
   hh:mm:ss.mmm	   (pm)
       0:00.000	  0.354
       0:00.008	  0.357
       0:00.016	  0.359
       0:00.024	  0.362
       0:00.032	  0.364
       0:00.040	  0.366
       0:00.048	  0.367
       0:00.056	  0.369
       0:00.064	  0.369
       0:00.072	  0.369
       0:00.080	  0.369
       0:00.088	  0.368
       0:00.096	  0.367
       0:00.104	  0.366
       0:00.112	  0.362
       0:00.120	  0.359
       0:00.128	  0.353
       0:00.136	  0.347
       0:00.144	  0.341
       0:00.152	  0.334
       0:00.160	  0.327
       0:00.168	  0.322
       0:00.176	  0.312
       0:00.184	  0.303
       0:00.192	  0.292
       0:00.200	  0.282
       0:00.208	  0.269
       0:00.216	  0.256
       0:00.224	  0.242
       0:00.232	  0.229
       0:00.240	  0.218
       0:00.248	  0.206
       0:00.256	  0.196
       0:00.264	  0.188
       0:00.272	  0.178
       0:00.280	  0.169
       0:00.288	  0.161
       0:00.296	  0.153
       0:00.304	  0.147
       0:00.312	  0.141
       0:00.320	  0.137
       0:00.328	  0.133
       0:00.336	  0.130
       0:00.344	  0.126
       0:00.352	  0.124
       0:00.360	  0.121
       0:00.368	  0.119
       0:00.376	  0.116
       0:00.384	  0.114
       0:00.392	  0.112
       0:00.400	  0.110
       0:00.408	  0.109
       0:00.416	  0.107
       0:00.424	  0.106
       0:00.432	  0.102
       0:00.440	  0.099
       0:00.448	  0.095
       0:00.456	  0.090
       0:00.464	  0.086
       0:00.472	  0.082
       0:00.480	  0.078
       0:00.488	  0.075
       0:00.496	  0.070
       0:00.504	  0.065
       0:00.512	  0.061
       0:00.520	  0.055
       0:00.528	  0.049
       0:00.536	  0.044
       0:00.544	  0.038
       0:00.552	  0.033
       0:00.560	  0.028
       0:00.568	  0.024
       0:00.576	  0.022
       0:00.584	  0.020
       0:00.592	  0.020
       0:00.600	  0.019
       0:00.608	  0.020
       0:00.616	  0.022
       0:00.624	  0.023
       0:00.632	  0.026
       0:00.640	  0.030
       0:00.648	  0.035
       0:00.656	  0.042
       0:00.664	  0.050
       0:00.672	  0.061
       0:00.680	  0.070
       0:00.688	  0.082
       0:00.696	  0.095
       0:00.704	  0.108
       0:00.712	  0.121
       0:00.720	  0.134
       0:00.728	  0.147
       0:00.736	  0.159
       0:00.744	  0.171
       0:00.752	  0.185
       0:00.760	  0.197
       0:00.768	  0.211
       0:00.776	  0.226
       0:00.784	  0.238
       0:00.792	  0.250
       0:00.800	  0.262
       0:00.808	  0.274
       0:00.816	  0.284
       0:00.824	  0.295
       0:00.832	  0.306
       0:00.840	  0.317
       0:00.848	  0.328
       0:00.856	  0.340
       0:00.864	  0.352
       0:00.872	  0.364
       0:00.880	  0.374
       0:00.888	  0.385
       0:00.896	  0.394
       0:00.904	  0.404
       0:00.912	  0.414
       0:00.920	  0.425
       0:00.928	  0.438
       0:00.936	  0.450
       0:00.944	  0.461
       0:00.952	  0.473
       0:00.960	  0.484
       0:00.968	  0.496
       0:00.976	  0.508
       0:00.984	  0.522
       0:00.992	  0.536
       0:01.000	  0.550
       0:01.008	  0.567
       0:01.016	  0.583
       0:01.024	  0.599
       0:01.032	  0.617
       0:01.040	  0.632
       0:01.048	  0.647
       0:01.056	  0.662
       0:01.064	  0.675
       0:01.072	  0.690
       0:01.080	  0.704
       0:01.088	  0.718
       0:01.096	  0.733
       0:01.104	  0.747
       0:01.112	  0.761
       0:01.120	  0.773
       0:01.128	  0.786
       0:01.136	  0.799
       0:01.144	  0.812
       0:01.152	  0.826
       0:01.160	  0.840
       0:01.168	  0.854
       0:01.176	  0.870
       0:01.184	  0.885
       0:01.192	  0.900
       0:01.200	  0.915
       0:01.208	  0.929
       0:01.216	  0.941
       0:01.224	  0.955
       0:01.232	  0.968
       0:01.240	  0.981
       0:01.248	  0.991
       0:01.256	  1.000
       0:01.264	  1.000
       0:01.272	  1.000
       0:01.280	  1.000
       0:01.288	  1.000
       0:01.296	  1.000
       0:01.304	  1.000
       0:01.312	  1.000
       0:01.320	  1.000
       0:01.328	  1.000
       0:01.336	  1.000
       0:01.344	  1.000
       0:01.352	  1.000
       0:01.360	  1.000
       0:01.368	  1.000
       0:01.376	  1.000
       0:01.384	  1.000
       0:01.392	  1.000
       0:01.400	  1.000
       0:01.408	  1.000
       0:01.416	  1.000
       0:01.424	  1.000
       0:01.432	  1.000
       0:01.440	  1.000
       0:01.448	  1.000
       0:01.456	  1.000
       0:01.464	  1.000
